rgiid,name,x,y,surge,bed_elev,thickness,surface_elev,width,runoff,bed_slope,surface_slope,driving_stress,WH,cmb
RGI60-07.00366,Andrinebreen,567518.2444938497,8659408.251,1,338.97369384765625,217.0262908935547,555.9999847412109,1336.142761012076,1.3967456669955975,3.3811919552922185,3.293853496425252,-68815.68885,0.162427472,-0.06096151
RGI60-07.00366,Andrinebreen,567608.5636416428,8659326.789,1,334.2587280273437,215.7412567138672,549.9999847412109,1492.344348977948,1.4052595286209222,2.219964998976086,2.8241276264495365,256469.2273424335,0.1445653322985546,-0.090890501
RGI60-07.00366,Andrinebreen,567694.4543605322,8659331.217215896,1,325.7980957,217.201889,542.9999847412109,1747.5559024896163,1.4398009083954948,5.618334892471607,4.653092699684906,-234173.9601,0.1242889504871656,-0.125345352
RGI60-07.00366,Andrinebreen,567780.3450920235,8659335.645654302,1,318.9419250488281,220.05807495117188,539,1977.2529533446432,1.4743422932090515,4.557891743395248,2.662841637,-429927.8875,0.1112948520718759,-0.144775637
RGI60-07.00366,Andrinebreen,567866.2358,8659340.074093992,1,318.9419250488281,220.05807495117188,539,2077.641125468376,1.5088836830616488,4.557891743395248,2.662841637,-451755.9873,0.1059172694714361,-0.144374345
RGI60-07.00366,Andrinebreen,567956.5550281251,8659258.611771325,1,314.5497436523437,223.4502716064453,538.0000152587891,2155.104068859065,1.5475056969609875,2.068122784605753,0.4710514111238368,423223.1542586994,0.1036842140643083,-0.149578751
RGI60-07.00366,Andrinebreen,568042.4457987064,8659263.040200975,1,316.32794189453125,215.6720428466797,531.9999847412109,2065.212555648477,1.5822786301388805,-1.184453342,3.990708668943659,-412578.9793,0.1044309179008252,-0.178714056
RGI60-07.00366,Andrinebreen,568128.3365818902,8659267.468631916,1,312.23516845703125,210.7648468017578,523.0000152587891,2239.889992299836,1.6170515684231004,2.724518631463377,5.9739673393093975,191237.5663666817,0.094096071,-0.222418589
RGI60-07.00366,Andrinebreen,568218.6558042418,8659186.006,1,302.2662353515625,206.73377990722656,509.00001525878906,2052.0319507559507,1.6530555640537878,4.685581964181241,6.566070021793219,-424071.9036,0.1007458874268832,-0.291812295
RGI60-07.00366,Andrinebreen,568308.9750291657,8659104.543865696,1,277.94317626953125,213.05682373046875,491,1961.217986153946,1.6890595605606076,11.30866465113446,8.418146711063875,-397537.5901,0.1086349529907609,-0.381234629
RGI60-07.00366,Andrinebreen,568399.2942566642,8659023.081444774,1,244.91189575195312,235.08810424804688,480,1788.8069191009774,1.725063557944421,15.193563652927068,5.167698857399521,206904.5472177076,0.1314217324059759,-0.436432568
RGI60-07.00366,Andrinebreen,568489.6134867385,8658941.618998645,1,227.30831909179688,242.69168090820312,470,1802.373495843352,1.7610675562057445,8.235311017127927,4.700116488155321,406001.4138830501,0.1346511594116872,-0.486909171
RGI60-07.00366,Andrinebreen,568579.9327193908,8658860.156527301,1,224.8568572998047,235.1431427001953,460,1654.7254234832894,1.7638741531537758,1.154650608645581,4.700115765,355889.3487144738,0.1421040248509664,-0.533360439
RGI60-07.00366,Andrinebreen,568665.8235846384,8658864.584902942,1,224.8568572998047,235.1431427001953,460,1759.793814977121,1.766941715857588,1.154650608645581,4.700115765,378486.8871873542,0.1336197119792993,-0.527815154
RGI60-07.00366,Andrinebreen,568751.7145,8658869.013,1,223.5915069580078,240.4084930419922,464,1810.804121964858,1.7700092790158373,0.842904903,-2.662847359,325010.19676731713,0.1327633895493516,-0.50297689
RGI60-07.00366,Andrinebreen,568837.6053529517,8658873.442,1,228.63961791992188,237.36038208007807,466,1785.143625659462,1.773076842628439,-3.359154339,-1.33214283,91460.23337648534,0.1329643053187909,-0.488092384
RGI60-07.00366,Andrinebreen,568923.4963,8658877.870037617,1,235.3101806640625,228.6898193359375,464,1759.483125110282,1.7761444066954657,-4.434992491,1.3321426342168463,386993.72223760426,0.1299755684338283,-0.492759347
RGI60-07.00366,Andrinebreen,569009.3871716881,8658882.298418427,1,240.0619354248047,216.9380645751953,457,1732.439137848284,1.779211971216897,-3.162362392,4.6530822702871735,7805.371143828894,0.1252211750680233,-0.522227367
RGI60-07.00366,Andrinebreen,569095.2780999651,8658886.727,1,242.6524353027344,205.3475646972656,448,1801.5472805903453,1.7865981960651942,-1.72524653,5.973977630932166,-365539.637,0.113984,-0.560562182
RGI60-07.00366,Andrinebreen,569181.1690408476,8658891.155183926,1,240.9960174560547,196.0039825439453,437,1959.8603318537027,1.830806769451342,1.103354367908412,7.288531042692061,342931.33217062656,0.1000091584886347,-0.607569214
RGI60-07.00366,Andrinebreen,569271.4883733736,8658809.692608181,1,231.3461303710937,185.65386962890625,417,2352.433216658844,1.920225652548929,4.536252464607568,9.337801429985252,-429981.1258,0.078919932,-0.696063636
RGI60-07.00366,Andrinebreen,569361.8077084922,8658728.230007224,1,231.3461303710937,185.65386962890625,417,2380.9189218875845,2.0096445496162167,4.536252464607568,9.337801429985252,-435187.7839,0.077975721,-0.691998551
