crevasse,stress
1,166573.99143314463
1,172579.1188586176
1,177969.1649
1,181995.7524922896
1,184154.02577640602
1,184328.8872090321
1,182489.49359306946
1,178521.03065783516
1,172773.51939568925
1,166043.4669976509
1,159859.44762354525
1,155971.65544220217
1,155424.20269238864
1,157787.12701790204
1,134922.4360430173
1,133226.93472286515
1,137240.38093256537
1,144316.5562537534
1,151498.8872840781
1,157478.43771557327
1,161998.45592941108
1,164872.40976218923
1,166186.69372420307
1,165947.46745030163
1,164436.8170747196
1,161684.58190407744
1,157957.62678228828
1,153419.24198869398
1,148307.85760731035
1,143432.78242552408
1,132721.60252010287
1,133681.63772372538
1,135275.29688010458
1,137101.38451435178
1,138760.67394516015
1,140105.2422051739
1,140856.70671242365
1,197176.86365014865
1,196834.44511271128
1,195981.60129760546
1,194461.1753885568
1,192249.6361330859
1,189192.14685102575
1,185316.6959126667
1,180630.4033890021
1,175698.35024794875
1,170442.38901424513
1,165296.68667332546
1,160541.77290853535
1,156601.97459353827
1,154538.9699840676
1,154507.98406297452
1,156630.90915060125
1,160523.66034016674
1,165591.0819351064
1,171341.12899387968
1,176673.76406586307
1,180862.17138914208
1,183487.64667198728
1,184255.67596016932
1,183039.27744092335
1,179835.84014686124
1,174889.96686857066
1,168908.6115144415
1,163149.44295826115
1,158960.84466895598
1,157174.97113699742
1,157682.54864335616
1,131434.45595911503
1,126234.40299610043
1,126725.6494
1,132781.32156420668
1,140843.70261458485
1,148394.98168728765
1,154537.02839893417
1,159343.01614114738
1,162354.1341
1,163982.6324694241
1,164194.09911451067
1,163145.32103186194
1,160909.20632259798
1,157707.35048008407
1,153680.37399002528
1,148989.43074825843
1,144384.13706656467
1,140192.15721032835
1,136756.9596234145
1,134339.59535798818
1,133104.74149456268
1,133035.2338553903
1,133929.05451233685
1,135508.64546815192
1,137454.5814062706
1,139224.49236195802
1,140691.63052552353
1,193251.59976545605
