year,site,snow,wind,ta_summer,ta_annual,fac,SSP
2033,VIR619,895.4580000000004,5.774599615754719,-1.164108606,-9.522375066,19.369949449999993,5
2033,VIR621,1051.8684000000003,4.980327896295709,-1.883528219,-10.48005831,22.632041685000004,5
2033,VIR440,521.5457999999999,6.980051652960963,-4.234170914,-15.36552265,18.145671080000003,5
2033,VIR716,829.0272,7.548042973784806,-2.715436364,-11.98633807,20.922214104999995,5
2033,VIR513,1027.6842000000001,8.356014106,-3.633525902,-15.42192717,26.114023230000004,5
2033,VIR494,433.2042000000001,5.676742436481453,-2.780436037,-15.41320207,17.902011249855875,5
2033,VIR469,431.8914000000001,6.303251049998234,-3.482353366,-13.88341751,16.184669980709597,5
2033,VIR715,886.1034000000002,7.567379026740473,-3.156293282,-12.86173607,21.711398270000004,5
2033,VIR512,1075.2300000000005,8.298426018989355,-3.788057955,-15.66507974,26.96710887999999,5
2034,VIR466,494.60759999999993,5.971979123077671,-3.372706536,-15.284062,18.29705461449005,5
2034,VIR575,798.2724000000001,5.388869203215213,-1.907178035,-11.07376903,21.123393015190857,5
2034,VIR619,906.4344000000003,5.779333543553683,-1.086985523,-9.428149257,19.23148271499999,5
2034,VIR621,1065.2640000000004,4.981609874618183,-1.794437831,-10.3831496,22.627259210000005,5
2034,VIR440,541.5461999999999,7.002262235817575,-4.171633213,-15.39844184,18.18223547,5
2034,VIR716,819.8267999999998,7.5553391146688575,-2.570865664,-11.88771142,20.849949544999998,5
2034,VIR513,1021.6397999999999,8.288750822,-3.488975926,-15.37444389,26.169564570000006,5
2034,VIR494,448.9764000000001,5.706322400219822,-2.678344129,-15.32368699,17.99756855187561,5
2034,VIR469,458.9508000000001,6.3341649926284935,-3.41575235,-13.94027344,16.208138559203434,5
2034,VIR715,881.1384000000003,7.559048842298324,-3.020255323,-12.76450238,21.701474555000004,5
2034,VIR512,1070.2878000000005,8.228226737269807,-3.627460664,-15.61028468,27.05589985999999,5
2035,VIR466,483.4019999999999,5.907716514270707,-3.400635683,-15.33389332,18.353797685427978,5
2035,VIR575,800.4054000000001,5.373755564,-1.90206494,-11.12671346,21.13466174647551,5
2035,VIR619,906.6630000000004,5.773370602,-1.080066456,-9.469796731,19.01037535499999,5
2035,VIR621,1069.9218000000003,4.979950712431804,-1.789245819,-10.44690173,22.619629450000005,5
2035,VIR440,525.2039999999998,6.920344017051575,-4.196777895,-15.47159737,18.209876044999998,5
2035,VIR716,795.2357999999999,7.459195857500399,-2.522511786,-11.98085675,20.764558324999996,5
2035,VIR513,1020.2700000000001,8.319646271430335,-3.453835661,-15.54985047,26.157991250000006,5
2035,VIR494,442.8612000000001,5.660697928253615,-2.686208376,-15.35278798,18.047985828949663,5
2035,VIR469,449.6334000000001,6.282727396622349,-3.464799297,-13.9954032,16.217520900181377,5
2035,VIR715,851.4204000000002,7.472692387485217,-2.969523373,-12.8759417,21.621162575000003,5
